num_node,num_car,repeat,time of insert 0,time of permutation and combination hash,compare,
6,2,2,0.007008553,0.020919085,TRUE,
6,3,6,0.015957355,0.01296711,TRUE,23.06023388
6,4,24,0.065823555,0.002992153,TRUE,2099.87251
6,5,120,0.012965202,0,TRUE,
7,2,2,0.10570693,0.174655437,TRUE,
7,3,6,0.322985172,0.150573254,TRUE,114.5036814
7,4,24,0.541879177,0.056847334,TRUE,853.2182775
7,5,120,0.423121214,0.009941339,TRUE,4156.179102
7,6,720,0.190457821,0.000997543,TRUE,18992.68642
8,2,2,0.911785603,1.755128145,TRUE,
8,3,6,3.346353054,1.849194288,TRUE,80.96276174
8,4,24,5.582602024,0.798094749,TRUE,599.4911353
8,5,120,7.469463825,0.178561449,TRUE,4083.133518
8,6,720,3.919121027,0.015961647,TRUE,24453.36231
8,7,5040,2.137934208,0.000997543,TRUE,214219.9331
9,2,2,9.275867939,20.45761251,TRUE,
9,3,6,40.36489415,25.4660933,TRUE,58.50446189
9,4,24,91.74392772,12.96467972,TRUE,607.6451537
9,5,120,124.8825073,3.410964966,TRUE,3561.207564
9,6,720,101.2715726,0.499658108,TRUE,20168.17358
9,7,5040,61.51575065,0.038865805,TRUE,158177.3113
9,8,40320,13.83560061,0.002962589,TRUE,466910.4217
,,,,,,23.06023388
,,,,,,466910.4217
